season,horizon_months,group,players,players_with_future_value,mean_current_value,mean_model_value,mean_gap,median_gap,mean_future_change,median_future_change,mean_future_change_pct,median_future_change_pct,share_future_value_up,share_future_value_down
2023,6,top_20_undervalued,20,16,33062500.0,50283051.49806161,17220551.498061616,13639356.096068962,-4500000.0,-3500000.0,-0.11670863858363859,-0.17777777777777778,0.1875,0.6875
2023,6,top_20_recruitment_undervalued,20,15,23800000.0,31795413.14103497,7995413.141034973,7110090.653634574,3466666.6666666665,3000000.0,0.2952813852813853,0.14285714285714285,0.6,0.2
2023,6,top_20_young_known_value_undervalued,20,17,26176470.588235293,33889504.9321461,7713034.343910806,6778247.61948292,4176470.588235294,5000000.0,0.3104957134368899,0.14285714285714285,0.6470588235294118,0.17647058823529413
2023,6,top_20_overvalued,20,18,64555555.55555555,41875461.1754894,-22680094.38006615,-19309470.031802855,5000000.0,0.0,0.08820885904219239,0.0,0.4444444444444444,0.2222222222222222
2023,6,middle_remainder,291,226,27350442.477876104,25402177.47718086,-1948265.0006952453,-492005.8666654024,-484955.7522123894,0.0,-0.015226370535848193,0.0,0.22566371681415928,0.40707964601769914
2023,12,all_eligible,331,260,30277692.307692308,28073766.288348734,-2203926.0193435783,-534637.5522715682,-2331346.153846154,-2000000.0,-0.0842837563821429,-0.1464285714285714,0.25384615384615383,0.6192307692307693
2023,12,top_20_undervalued,20,16,33062500.0,50283051.49806161,17220551.498061616,13639356.096068962,-8875000.0,-6500000.0,-0.22777583527583528,-0.3351648351648352,0.25,0.75
2023,12,top_20_recruitment_undervalued,20,15,23800000.0,31795413.14103497,7995413.141034973,7110090.653634574,7000000.0,8000000.0,0.5411748436748437,0.4,0.7333333333333333,0.26666666666666666
2023,12,top_20_young_known_value_undervalued,20,17,26176470.588235293,33889504.9321461,7713034.343910806,6778247.61948292,6705882.352941177,8000000.0,0.5190571683218742,0.4,0.7058823529411765,0.29411764705882354
2023,12,top_20_overvalued,20,18,64555555.55555555,41875461.1754894,-22680094.38006615,-19309470.031802855,-277777.77777777775,-2500000.0,0.020218361885028544,-0.041666666666666664,0.3888888888888889,0.5
2023,12,middle_remainder,291,226,27350442.477876104,25402177.47718086,-1948265.0006952453,-492005.8666654024,-2031637.168141593,-2000000.0,-0.0824482026941341,-0.1464285714285714,0.24336283185840707,0.6194690265486725
